1,Delaware,0.00
2,Florida,0.12
3,Illinois,0.21
4,Kansas,0.27
5,Missouri,0.36
6,Virginia,0.37
7,Maine,0.39
8,Wyoming,0.41
9,Oregon,0.41
10,Kentucky,0.42
11,Utah,0.43
12,Alabama,0.45
13,Texas,0.48
14,Georgia,0.51
15,North Dakota,0.65
16,Tennessee,0.73
17,Arizona,0.76
18,Ohio,0.79
19,Michigan,0.85
20,Idaho,0.85
21,Maryland,0.93
22,New Mexico,0.99
23,North Carolina,1.06
24,Mississippi,1.12
25,Minnesota,1.15
26,Nevada,1.20
27,Colorado,1.21
28,Washington,1.22
29,Nebraska,1.30
30,New York,1.36
31,Montana,1.41
32,Indiana,1.49
33,South Dakota,1.55
34,Connecticut,1.68
35,California,2.07
36,New Hampshire,2.16
37,Oklahoma,2.17
38,Louisiana,2.22
39,Vermont,2.27
40,West Virginia,2.27
41,Pennsylvania,2.50
42,South Carolina,2.65
43,Iowa,2.96
44,Arkansas,3.27
45,Wisconsin,3.83
46,New Jersey,4.38
47,Massachusetts,5.08
48,Hawaii,6.41
49,Rhode Island,13.40
50,Alaska,21.36
,Weighted Average,1.36
