1,Texas,1.57
2,Nevada,1.59
3,Florida,2.14
4,Arizona,2.48
5,Utah,2.85
6,Delaware,4.44
7,Georgia,4.66
8,Tennessee,4.73
9,Washington,4.85
10,Vermont,5.23
11,Minnesota,5.32
12,Oregon,5.45
13,Colorado,5.60
14,Maryland,5.62
15,Hawaii,5.81
16,Virginia,5.92
17,Arkansas,5.95
18,Ohio,6.04
19,California,6.25
20,New Mexico,6.28
21,Indiana,7.44
22,Alabama,7.44
23,Kentucky,7.77
24,Connecticut,7.83
25,Kansas,8.46
26,Illinois,8.60
27,Wisconsin,8.74
28,Idaho,8.75
29,New Jersey,8.85
30,Massachusetts,9.28
31,Montana,9.71
32,South Carolina,9.91
33,Wyoming,9.91
34,North Carolina,10.20
35,Michigan,10.51
36,Alaska,10.52
37,New York,10.52
38,New Hampshire,10.89
39,Mississippi,11.76
40,Missouri,12.60
41,Maine,13.26
42,Oklahoma,14.02
43,North Dakota,14.03
44,Louisiana,14.11
45,Nebraska,14.73
46,Pennsylvania,18.32
47,South Dakota,18.58
48,West Virginia,18.98
49,Iowa,20.93
50,Rhode Island,23.26
,Weighted Average,8.86
