1,North Dakota,0.00
1,Vermont,0.00
3,New Mexico,0.66
4,Illinois,0.74
5,Florida,1.05
6,Arizona,1.19
7,New Hampshire,1.20
8,South Dakota,1.33
9,Kansas,1.77
10,Rhode Island,1.92
11,Utah,1.98
12,Tennessee,2.01
13,Montana,2.04
14,Idaho,2.17
15,North Carolina,2.20
16,Kentucky,2.27
17,Missouri,2.42
18,Connecticut,2.52
19,Alaska,2.56
20,West Virginia,2.61
21,Georgia,2.64
22,Virginia,2.76
23,Oregon,2.99
24,Nebraska,3.13
25,Nevada,3.33
26,Maine,3.41
27,South Carolina,3.95
28,Colorado,4.28
29,Ohio,4.30
30,Alabama,4.48
31,Massachusetts,4.59
32,Pennsylvania,4.75
33,Texas,5.44
34,Wyoming,5.66
35,Wisconsin,5.88
36,Iowa,5.92
37,Mississippi,5.93
38,Washington,6.27
39,Maryland,6.51
40,Minnesota,6.67
41,Oklahoma,7.37
42,Michigan,7.65
43,Indiana,7.81
44,Arkansas,9.68
45,New Jersey,9.84
46,New York,10.68
47,California,12.12
48,Delaware,12.20
49,Louisiana,12.90
50,Hawaii,21.82
,Weighted Average,5.18
