State,Funding
Alabama,19569754
Alaska,8285878
Arizona,29893984
Arkansas,13639939
California,155696945
Colorado,21892992
Connecticut,18302632
Delaware,11505244
Dist. of Col.,4392803
Florida,83389021
Georgia,30571327
Hawaii,4620811
Idaho,8196211
Illinois,57401879
Indiana,29784857
Iowa,17903882
Kansas,17074731
Kentucky,23987933
Louisiana,23835851
Maine,7299856
Maryland,26315131
Massachusetts,33293644
Michigan,34774333
Minnesota,26509794
Mississippi,14074829
Missouri,29035650
Montana,7721059
Nebraska,13425259
Nevada,11341722
New Hampshire,6941596
New Jersey,61153821
New Mexico,11979091
New York,83215428.26
North Carolina,41033781
North Dakota,6170354
Ohio,49655685
Oklahoma,20110095
Oregon,15462034
Pennsylvania,71088218
Rhode Island,5015773
South Carolina,16292542
South Dakota,5554117
Tennessee,20467511
Texas,120370351
Utah,17667906
Vermont,4646534
Virginia,39843076
Washington,42148269
West Virginia,13825575
Wisconsin,27567868
Wyoming,5809078
